global_idx,sentence,verb,recipient,rec.pron,theme,theme.pron,verb_lemma,verb_tag,verb_i,subject,recipient_tag,recipient_pos,recipient_i,theme_tag,theme_pos,theme_i,preposition,preposition_i,token_count,type,verb_type,alternant,babylm-default_ratio,babylm-balanced_ratio,loose-balanced_ratio,loose-default_ratio,removed_ratio,conti
9437,I' ll give you a tip.,give,you,p,a tip,n,give,VB,3,i,PRP,PRON,4,NN,NOUN,5,,,8,dative,alternating,I' ll give a tip to you.,0.4151089191,-0.09814214706,0.09260892868,0.6315488815,0.1209619045257568,1
22162,"Rodolfo gives Mimi the pink bonnet he bought her, which he has kept as a souvenir of their love.",gives,mimi,n,"the pink bonnet he bought her , which he has kept as a souvenir of their love",n,give,VBZ,1,rodolfo,NNP,PROPN,2,NN,NOUN,3,,,21,dative,alternating,"Rodolfo gives the pink bonnet he bought her, which he has kept as a souvenir of their love to Mimi.",0.3574519157,0.562962532,0.4318079948,0.2229480743,-0.1143102645874023,1
11186,It was I who handed him your letter.,handed,him,p,your letter,n,hand,VBD,4,who,PRP,PRON,5,NN,NOUN,6,,,9,dative,alternating,It was I who handed your letter to him.,-0.3466236591,-0.3736169338,-0.1673550606,-0.2400853634,-0.2093100547790527,1
14749,so that only leaves us 3 hours and 40 minutes to pull this off.,leaves,us,p,3 hours and 40 minutes,n,leave,VBZ,3,that,PRP,PRON,4,NNS,NOUN,5,,,15,dative,alternating/benefactive_alternating,so that only leaves 3 hours and 40 minutes for us to pull this off.,0.4065029621,-0.01978993416,-0.1861100197,-0.01557374001,-0.2701897621154785,1
14895,I give you the command,give,you,p,the command,n,give,VBP,1,i,PRP,PRON,2,NN,NOUN,3,,,5,dative,alternating,I give the command to you,-0.5046646595,-0.6707065105,-0.7627575397,-0.1557230949,-0.7704601287841797,1
18960,- so kind of just toss 'em about a bit - give 'em a good old shake and then what I'm gonna do is just get 'em in the oven,give,em,p,a good old shake,n,give,VB,11,,PRP,PRON,12,NN,NOUN,13,,,32,dative,alternating,- so kind of just toss 'em about a bit - give a good old shake to 'em and then what I'm gonna do is just get 'em in the oven,0.1351103783,0.00346326828,0.05484223366,0.2004756927,0.0770316123962402,1
12299,"I wanted to buy you a drink, both of you.",buy,you,p,a drink,n,buy,VB,3,,PRP,PRON,4,NN,NOUN,5,,,12,dative,benefactive_alternating,"I wanted to buy a drink for you, both of you.",0.2523224354,0.009717941284,0.1783099174,0.2283883095,-0.5417366027832031,1
2732,I just gave her that!,gave,her,p,that,n,give,VBD,2,i,PRP,PRON,3,DT,PRON,4,,,6,dative,alternating,I just gave that to her!,-0.6738615036,-0.8732247353,-0.5481975079,-0.7364571095,-0.1699419021606445,1
4276,I am sure the prince will give us all some tea.,give,us all,p,some tea,n,give,VB,6,the prince,PRP,PRON,7,NN,NOUN,9,,,12,dative,alternating,I am sure the prince will give some tea to us all.,0.2051320076,-0.3249855042,-0.3957679272,-0.0002412796021,-0.2294902801513672,1
4315,"“Well, I don’t mind telling you the truth you only!",telling,you,p,the truth,n,tell,VBG,7,,PRP,PRON,8,NN,NOUN,9,,,14,dative,alternating,"“Well, I don’t mind telling the truth to you you only!",0.09173226357,-0.05460715294,-0.4731912613,-0.1848642826,-0.0976300239562988,1
83,yeah he's got him some cookies?,got,him,p,some cookies,n,get,VBD,3,,PRP,PRON,4,NNS,NOUN,5,,,8,dative,benefactive_alternating,yeah he's got some cookies for him?,-0.8075273037,-1.144237995,-0.7304551601,-0.9302940369,-1.169991970062256,1
5171,"Before leaving he gave her a flower, and said: ""Sister, as long as this flower keeps fresh, you will know that I am alive and well; but if it should close or fade, you may feel sure that I too am dead. """,gave,her,p,a flower,n,give,VBD,3,he,PRP,PRON,4,NN,NOUN,5,,,51,dative,alternating,"Before leaving he gave a flower to her, and said: ""Sister, as long as this flower keeps fresh, you will know that I am alive and well; but if it should close or fade, you may feel sure that I too am dead. """,0.01227116585,-0.02625966072,0.007303953171,-0.001036167145,-0.0718200206756591,1
1553,I've gotta be catched I won't actually do it I'll just come in run a mo just give it complete customers and  and help,give,it,i,complete customers,n,give,VB,21,,PRP,PRON,22,NNS,NOUN,23,,,29,dative,alternating,I've gotta be catched I won't actually do it I'll just come in run a mo just give complete customers to it and  and help,0.0610332489,0.01380729675,-0.01450777054,0.1095561981,0.0777797698974609,1
20350,Can I offer you a drink?,offer,you,p,a drink,n,offer,VB,2,i,PRP,PRON,3,NN,NOUN,4,,,7,dative,alternating,Can I offer a drink to you?,0.3969380856,-0.03219771385,0.07962322235,0.4024789333,-0.1978650093078613,1
12549,"Ah, show 'em your stuff, girl.",show,em,p,your stuff,n,show,VB,2,,PRP,PRON,3,NN,NOUN,4,,,9,dative,alternating,"Ah, show your stuff to 'em, girl.",0.08593702316,0.2394146919,0.1454892159,0.1025118828,0.375767707824707,1
