global_idx,sentence,verb_lemma,verb,recipient,recipient_anim,theme,theme_anim,construction,verb_tag,verb_i,subject,recipient_tag,recipient_pos,recipient_i,theme_tag,theme_pos,theme_i,preposition,preposition_i,token_count,type,verb_type,alternant,recipient_pos_spacy,recipient_length,theme_length,length_difference
42,i'm gonna give it to her for christmas?,give,give,her,a,it,i,,VB,4,,IN,PRON,7,PRP,PRON,5,to,6,11,dative,alternating,i'm gonna give her it for christmas?,ADP,1,1,0
51,would you read that story to me peter?,read,read,me,a,that story,i,,VB,2,you,IN,PRON,6,NN,NOUN,3,to,5,9,prep,alternating,would you read me that story peter?,ADP,1,2,-0.6931471806
57,can you write a letter to your grandma?,write,write,your grandma,a,a letter,i,,VB,2,you,IN,,6,NN,NOUN,3,to,5,9,dative,alternating,can you write your grandma a letter?,ADP,2,2,0
60,could you just give it to me and then i'll put it away for awhile okay.,give,give,me,a,it,i,,VB,3,you,IN,PRON,6,PRP,PRON,4,to,5,18,dative,alternating,could you just give me it and then i'll put it away for awhile okay.,ADP,1,1,0
64,bring it to me and i'll fix it.,bring,bring,me,a,it,i,,VB,0,,IN,PRON,3,PRP,PRON,1,to,2,10,dative,alternating,bring me it and i'll fix it.,ADP,1,1,0
106,would you like to give them to him as a christmas present?,give,give,him,a,them,i,,VB,4,,IN,PRON,7,PRP,PRON,5,to,6,13,dative,alternating,would you like to give him them as a christmas present?,ADP,1,1,0
112,can i get it for you?,get,get,you,a,it,i,,VB,2,i,IN,PRON,5,PRP,PRON,3,for,4,7,dative,benefactive_alternating,can i get you it?,ADP,1,1,0
126,wanna throw the football to mommy?,throw,throw,mommy,a,the football,i,,VB,1,,IN,,5,NN,NOUN,2,to,4,7,prep,alternating,wanna throw mommy the football?,ADP,1,2,-0.6931471806
127,i think i should get bigger plates actually for us.,get,get,us,a,bigger plates,i,,VB,4,i,IN,PRON,9,NNS,NOUN,5,for,8,11,dative,benefactive_alternating,i think i should get us bigger plates actually.,ADP,1,2,-0.6931471806
134,wanna paint a picture for her.,paint,paint,her,a,a picture,i,,VB,1,wanna,IN,PRON,5,NN,NOUN,2,for,4,7,dative,benefactive_alternating,wanna paint her a picture.,ADP,1,2,-0.6931471806
135,leave it to me.,leave,leave,me,a,it,i,,VB,0,,IN,PRON,3,PRP,PRON,1,to,2,5,dative,alternating,leave me it.,ADP,1,1,0
139,get some for you.,get,get,you,a,some,i,,VB,0,,IN,PRON,3,DT,PRON,1,for,2,5,dative,benefactive_alternating,get you some.,ADP,1,1,0
146,give it to me a minute!,give,give,me,a,it,i,,VB,0,,IN,PRON,3,PRP,PRON,1,to,2,7,dative,alternating,give me it a minute!,ADP,1,1,0
173,and the mommy tried to feed miss spider to her babies.,feed,feed,her babies,a,miss spider,b,,VB,5,,IN,,9,NN,NOUN,6,to,8,12,dative,alternating,and the mommy tried to feed her babies miss spider.,ADP,2,2,0
197,want me to read it to you.,read,read,you,a,it,i,,VB,3,me,IN,PRON,6,PRP,PRON,4,to,5,8,dative,alternating,want me to read you it.,ADP,1,1,0
210,you not gonna read it to me?,read,read,me,a,it,i,,VB,4,,IN,PRON,7,PRP,PRON,5,to,6,9,prep,alternating,you not gonna read me it?,ADP,1,1,0
217,now you have to read the story to me.,read,read,me,a,the story,i,,VB,4,,IN,PRON,8,NN,NOUN,5,to,7,10,prep,alternating,now you have to read me the story.,ADP,1,2,-0.6931471806
236,who sent it to you?,send,sent,you,a,it,i,,VBD,1,who,IN,PRON,4,PRP,PRON,2,to,3,6,dative,alternating,who sent you it?,ADP,1,1,0
265,do you want to find it for her?,find,find,her,a,it,i,,VB,4,,IN,PRON,7,PRP,PRON,5,for,6,9,dative,benefactive_alternating,do you want to find her it?,ADP,1,1,0
279,give it to the bird.,give,give,the bird,b,it,i,,VB,0,,IN,,3,PRP,PRON,1,to,2,6,dative,alternating,give the bird it.,ADP,2,1,0.6931471806
298,give it to mummy?,give,give,mummy,a,it,i,,VB,0,,IN,,3,PRP,PRON,1,to,2,5,dative,alternating,give mummy it?,ADP,1,1,0
