global_idx,sentence,verb_lemma,verb,recipient,theme,recipient_length,theme_length,length_difference,recipient_pronoun,theme_pronoun,score,is_balanced,verb_tag,verb_i,subject,recipient_tag,recipient_pos,recipient_i,theme_tag,theme_pos,theme_i,preposition,preposition_i,token_count,type,verb_type,alternant,babylm-default_ratio,babylm-balanced_ratio,len_category,Construction,recipient_pos_spacy
9437,I' ll give you a tip.,give,give,you,a tip,1,2,-0.6931471806,0.5,-0.5,0.4803543091,-0.5,VB,3,i,PRP,PRON,4,NN,NOUN,5,,,8,dative,alternating,I' ll give a tip to you.,0.4803543091,-0.3532083035,1. Recipient Shorter,DO,
11186,It was I who handed him your letter.,hand,handed,him,your letter,1,2,-0.6931471806,0.5,-0.5,-0.2902479172,-0.5,VBD,4,who,PRP,PRON,5,NN,NOUN,6,,,9,dative,alternating,It was I who handed your letter to him.,-0.2902479172,-0.3301084042,1. Recipient Shorter,DO,
14749,so that only leaves us 3 hours and 40 minutes to pull this off.,leave,leaves,us,3 hours and 40 minutes,1,5,-1.609437912,0.5,-0.5,0.03371763229,-0.5,VBZ,3,that,PRP,PRON,4,NNS,NOUN,5,,,15,dative,alternating/benefactive_alternating,so that only leaves 3 hours and 40 minutes for us to pull this off.,0.03371763229,-0.0474832058,1. Recipient Shorter,DO,
14895,I give you the command,give,give,you,the command,1,2,-0.6931471806,0.5,-0.5,-0.5208692551,-0.5,VBP,1,i,PRP,PRON,2,NN,NOUN,3,,,5,dative,alternating,I give the command to you,-0.5208692551,-0.8446118832,1. Recipient Shorter,DO,
18960,- so kind of just toss 'em about a bit - give 'em a good old shake and then what I'm gonna do is just get 'em in the oven,give,give,em,a good old shake,1,4,-1.386294361,0.5,-0.5,0.2100007534,-0.5,VB,11,,PRP,PRON,12,NN,NOUN,13,,,32,dative,alternating,- so kind of just toss 'em about a bit - give a good old shake to 'em and then what I'm gonna do is just get 'em in the oven,0.2100007534,-0.07359361649,1. Recipient Shorter,DO,
12299,"I wanted to buy you a drink, both of you.",buy,buy,you,a drink,1,2,-0.6931471806,0.5,-0.5,0.121809721,-0.5,VB,3,,PRP,PRON,4,NN,NOUN,5,,,12,dative,benefactive_alternating,"I wanted to buy a drink for you, both of you.",0.121809721,-0.1028857231,1. Recipient Shorter,DO,
2732,I just gave her that!,give,gave,her,that,1,1,0,0.5,0.5,-0.7957975864,-0.5,VBD,2,i,PRP,PRON,3,DT,PRON,4,,,6,dative,alternating,I just gave that to her!,-0.7957975864,-0.4330928326,2. Equal Length,DO,
4276,I am sure the prince will give us all some tea.,give,give,us all,some tea,2,2,0,0.5,-0.5,0.2751295567,-0.5,VB,6,the prince,PRP,PRON,7,NN,NOUN,9,,,12,dative,alternating,I am sure the prince will give some tea to us all.,0.2751295567,-0.2155401707,2. Equal Length,DO,
4315,"“Well, I don’t mind telling you the truth you only!",tell,telling,you,the truth,1,2,-0.6931471806,0.5,-0.5,0.1676766872,-0.5,VBG,7,,PRP,PRON,8,NN,NOUN,9,,,14,dative,alternating,"“Well, I don’t mind telling the truth to you you only!",0.1676766872,-0.09422302246,1. Recipient Shorter,DO,
83,yeah he's got him some cookies?,get,got,him,some cookies,1,2,-0.6931471806,0.5,-0.5,-0.8735766411,-0.5,VBD,3,,PRP,PRON,4,NNS,NOUN,5,,,8,dative,benefactive_alternating,yeah he's got some cookies for him?,-0.8735766411,-0.559844017,1. Recipient Shorter,DO,
